# $ this file belongs to the Molcas repository $
# this file defines aliases for basis set for.each atom
# Format:
#Basis_name Alias(real file)
#H.Ano-s   H.Ano-s...1s.
#

Be.ANO-RCC-VDZ                           Be.ANO-RCC...3s2p.
Be.ANO-RCC-VDZP                          Be.ANO-RCC...3s2p1d.
Be.ANO-RCC-VTZP                          Be.ANO-RCC...4s3p2d1f.
Be.ANO-RCC-VTZ                           Be.ANO-RCC...4s3p2d.
Be.ANO-RCC-VQZP                          Be.ANO-RCC...5s4p3d2f1g.
B.ANO-RCC-MB                             B.ANO-RCC...2s1p.
B.ANO-RCC-VDZ                            B.ANO-RCC...3s2p.
B.ANO-RCC-VDZP                           B.ANO-RCC...3s2p1d.
B.ANO-RCC-VTZP                           B.ANO-RCC...4s3p2d1f.
B.ANO-RCC-VTZ                            B.ANO-RCC...4s3p2d.
B.ANO-RCC-VQZP                           B.ANO-RCC...5s4p3d2f1g.
C.ANO-RCC-MB                             C.ANO-RCC...2s1p.
C.ANO-RCC-VDZ                            C.ANO-RCC...3s2p.
C.ANO-RCC-VDZP                           C.ANO-RCC...3s2p1d.
C.ANO-RCC-VTZ                            C.ANO-RCC...4s3p2d.
C.ANO-RCC-VTZP                           C.ANO-RCC...4s3p2d1f.
C.ANO-RCC-VQZP                           C.ANO-RCC...5s4p3d2f1g.
N.ANO-RCC-MB                             N.ANO-RCC...2s1p.
N.ANO-RCC-VDZ                            N.ANO-RCC...3s2p.
N.ANO-RCC-VDZP                           N.ANO-RCC...3s2p1d.
N.ANO-RCC-VTZ                            N.ANO-RCC...4s3p2d.
N.ANO-RCC-VTZP                           N.ANO-RCC...4s3p2d1f.
N.ANO-RCC-VQZP                           N.ANO-RCC...5s4p3d2f1g.
O.ANO-RCC-MB                             O.ANO-RCC...2s1p.
O.ANO-RCC-VDZ                            O.ANO-RCC...3s2p.
O.ANO-RCC-VDZP                           O.ANO-RCC...3s2p1d.
O.ANO-RCC-VTZP                           O.ANO-RCC...4s3p2d1f.
O.ANO-RCC-VTZ                            O.ANO-RCC...4s3p2d.
O.ANO-RCC-VQZP                           O.ANO-RCC...5s4p3d2f1g.
F.ANO-RCC-MB                             F.ANO-RCC...2s1p.
F.ANO-RCC-VDZ                            F.ANO-RCC...3s2p.
F.ANO-RCC-VDZP                           F.ANO-RCC...3s2p1d.
F.ANO-RCC-VTZ                            F.ANO-RCC...4s3p2d.
F.ANO-RCC-VTZP                           F.ANO-RCC...4s3p2d1f.
F.ANO-RCC-VQZP                           F.ANO-RCC...5s4p3d2f1g.
Ne.ANO-RCC-MB                            Ne.ANO-RCC...2s1p.
